"tournament","year","gender","match_num","date","winning_team","w_rank","losing_team","l_rank","score","duration","round","sub_round"
"St. Petersburg Open",2014,"W","15","May 29 - Jun 1","Laryssa Mereszczak/Megan Wallin-Brockway","10","Branagan Fuller/Caley Redden","15, Q7","18-21, 21-15, 15-11","1:02","Contender's Bracket","Round 1"
"St. Petersburg Open",2014,"W","16","May 29 - Jun 1","Jennifer Fopma/Whitney Pavlik","3","Andrea Peterson/Tanya White","11","19-21, 21-14, 15-12","0:55","Contender's Bracket","Round 1"
"St. Petersburg Open",2014,"W","17","May 29 - Jun 1","Briana Hinga/Geena Urango","13, Q3","Michelle Iafigliola/Traci Morin","12","21-14, 21-9","0:37","Contender's Bracket","Round 1"
"St. Petersburg Open",2014,"W","18","May 29 - Jun 1","Olaya Pazo/Sarah Day","9","Aurora Davis/Kelly Schumacher","16, Q9","23-21, 21-17","0:49","Contender's Bracket","Round 1"
"St. Petersburg Open",2014,"W","19","May 29 - Jun 1","Brittany Hochevar/Lane Carico","5","Laryssa Mereszczak/Megan Wallin-Brockway","10","21-16, 21-12","0:39","Contender's Bracket","Round 2"
"St. Petersburg Open",2014,"W","20","May 29 - Jun 1","Jennifer Fopma/Whitney Pavlik","3","Kaitlin Nielsen/Raquel Ferreira","8","21-18, 21-12","0:39","Contender's Bracket","Round 2"
"St. Petersburg Open",2014,"W","21","May 29 - Jun 1","Briana Hinga/Geena Urango","13, Q3","Kathryn Piening/Sheila Shaw","7","21-18, 21-17","0:43","Contender's Bracket","Round 2"
"St. Petersburg Open",2014,"W","22","May 29 - Jun 1","Olaya Pazo/Sarah Day","9","Angela Bensend/Emily Stockman","14, Q5","21-18, 21-19","0:42","Contender's Bracket","Round 2"
"St. Petersburg Open",2014,"W","23","May 29 - Jun 1","Brittany Hochevar/Lane Carico","5","Jennifer Fopma/Whitney Pavlik","3","21-12, 28-26","0:51","Contender's Bracket","Round 3"
"St. Petersburg Open",2014,"W","24","May 29 - Jun 1","Olaya Pazo/Sarah Day","9","Briana Hinga/Geena Urango","13, Q3","21-6, 21-10","0:29","Contender's Bracket","Round 3"
"St. Petersburg Open",2014,"W","25","May 29 - Jun 1","Brittany Hochevar/Lane Carico","5","Kim DiCello/Tealle Hunkus","6","26-24, 21-17","0:46","Contender's Bracket","Round 4"
"St. Petersburg Open",2014,"W","26","May 29 - Jun 1","Emily Day/Summer Ross","1","Olaya Pazo/Sarah Day","9","17-21, 21-17, 15-13","0:58","Contender's Bracket","Round 4"
"St. Petersburg Open",2014,"W","27","May 29 - Jun 1","Brooke Sweat/Lauren Fendrick","4","Brittany Hochevar/Lane Carico","5","Forfeit or other",,"Semifinals",
"St. Petersburg Open",2014,"W","28","May 29 - Jun 1","April Ross/Kerri Walsh Jennings","2","Emily Day/Summer Ross","1","21-15, 21-13","0:39","Semifinals",
"St. Petersburg Open",2014,"W","29","May 29 - Jun 1","April Ross/Kerri Walsh Jennings","2","Brooke Sweat/Lauren Fendrick","4","19-21, 21-15, 15-11","1:08","Finals",
"St. Petersburg Open",2014,"M","2","May 29 - Jun 1","Joe Cash/Roger Corbitt","Q32","Jonathan Alvarez/Shaun Dawson","Q33","21-9, 21-14","0:39","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","3","May 29 - Jun 1","JD Christie/Tyler Lesneski","Q17","Brandon Lozano/Philip Burrow","Q48","21-8, 21-13","0:40","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","4","May 29 - Jun 1","Mike Claman/Rob Ritchie","Q16","Jordan Hendrick/Matt Heath","Q49","16-21, 21-10, 15-11","1:01","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","6","May 29 - Jun 1","Dan Buehring/Matthew McCarthy","Q24","Mika Hunkin/Thomas Ta","Q41","21-13, 21-10","0:38","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","7","May 29 - Jun 1","Jack Mitchell/Jeff Soler","Q25","Chris Olds/Zack Kweder","Q40","21-14, 21-14","0:38","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","10","May 29 - Jun 1","Orlando Irizarry/Yunieski Ramirez","Q37","Ben Murray/Kristopher Back","Q28","21-15, 21-13","0:31","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","11","May 29 - Jun 1","Luiz Costa/Sergio Rios","Q21","Josh Brister/Judd Smith","Q44","19-21, 21-17, 17-15","1:00","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","14","May 29 - Jun 1","Nick Miller/Zach Davis","Q20","Allen Coleman/Damon Gordon","Q45","21-16, 21-9","0:39","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","15","May 29 - Jun 1","Norge Puentes/Robert deAurora","Q36","Daniel Somerville/Vasyl Martyniuk","Q29","21-14, 21-16","0:40","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","18","May 29 - Jun 1","Kevin Oleson/Neil Macklin","Q30","John Nunns/Larry Salefsky","Q35","23-21, 21-17","0:55","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","19","May 29 - Jun 1","Cody Coughlin/Taylor Roppolo","Q46","Darryl Olenchalk/JJ Colina","Q19","21-19, 21-15","0:44","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","20","May 29 - Jun 1","Dan Newman/Dylan Maarek","Q14","Eugene Tichenor/Marshall Brock","Q51","21-13, 21-17","0:36","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","22","May 29 - Jun 1","Brian Reim/Steve Nall","Q43","Gregor Lah/Joey Shimkonis","Q22","26-24, 12-21, 15-10","1:11","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","23","May 29 - Jun 1","Eric Zaun/TJ Cloud","Q27","Jet Steele/Kyle Dagostino","Q38","21-9, 21-16","0:34","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","26","May 29 - Jun 1","Dana Camacho/Kyle Radde","16, Q26","Brian Marsh/Tyler Machie-Marsh","Q39","21-10, 21-13","0:34","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","27","May 29 - Jun 1","Keith Bowen/Nick Vankleeck","Q42","Donny Bass/Jason Burgess","Q23","18-21, 21-17, 15-11","0:55","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","29","May 29 - Jun 1","Justin Phipps/William Chenoweth","Q15","Bryce Schumacher/Nathan Lee, Jr.","Q50","21-12, 21-11","0:29","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","30","May 29 - Jun 1","Daniel Virkus/Leonardo Lunardi","Q18","Jared Tucker/Wayne Leever","Q47","21-16, 8-2 retired","0:32","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","31","May 29 - Jun 1","Brett Benfield/Ryan Ragland","Q34","Derek Songalewski/Silvio Azevedo","Q31","21-23, 21-11, 15-10","0:58","Qualifier Bracket","Round 1"
"St. Petersburg Open",2014,"M","33","May 29 - Jun 1","Avery Drost/Ty Tramblie","13, Q1","Joe Cash/Roger Corbitt","Q32","21-16, 21-8","0:47","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","34","May 29 - Jun 1","JD Christie/Tyler Lesneski","Q17","Mike Claman/Rob Ritchie","Q16","21-19, 21-9","0:37","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","35","May 29 - Jun 1","Dan Buehring/Matthew McCarthy","Q24","Cullen Irons/Eric Lucas","Q9","21-14, 14-21, 15-12","0:59","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","36","May 29 - Jun 1","Jack Mitchell/Jeff Soler","Q25","Michael Boag/Tom Kohler","Q8","21-18, 24-22","0:47","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","37","May 29 - Jun 1","Hudson Bates/Mark Burik","15, Q5","Orlando Irizarry/Yunieski Ramirez","Q37","21-14, 21-18","0:44","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","38","May 29 - Jun 1","Kristopher Fraser/Shane Donohue","Q12","Luiz Costa/Sergio Rios","Q21","21-14, 22-20","0:55","Qualifier Bracket","Round 2"
"St. Petersburg Open",2014,"M","39","May 29 - Jun 1","Kibbee Jelks/Nate Davis","Q13","Nick Miller/Zach Davis","Q20","21-10, 21-16","0:42","Qualifier Bracket","Round 2"
